"Direction","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"-1","GO:0022626","cytosolic ribosome","65/802","103/14347",9.68963388558009e-56,4.84481694279005e-53,3.88605316884844e-53,"Rps29/Rps14/Rps27/Rpl36/Rps26/Rps25/Rplp1/Rpl14/Rpl38/Rpl37/Rps15/Rps18/Rpl29/Apod/Rps10/Rpl18a/Rps16/Rpl32/Rpl11/Rps19/Rps21/Rpl28/Rps17/Rpl30/Rpl31/Rpl37a/Rpl13/Rpl21/Rps2/Rpl27/Rpl35/Rps4x/Rpl39/Rpl10/Rpl34/Rpl23/Rps9/Rps24/Rps28/Rpl8/Rps11/Fau/Rpl10a/Rpl5/Rpl18/Rpl36a/Rps3/Rps12/Rpl9/Rplp2/Rps15a/Rps13/Rps3a1/Rpl35a/Rpl27a/Rpl26/Rps6/Rpl17/Rpsa/Mrpl4/Rpl12/Rps8/Rpl19/Rpl3/Rpl6",65,"CC"
"-1","GO:0003735","structural constituent of ribosome","68/784","142/14123",1.76388846435404e-47,1.22766637119041e-44,1.0843272244029e-44,"Rps29/Rps14/Rps27/Rpl36/Rps26/Rps25/Rplp1/Rpl14/Rpl38/Rpl37/Rps15/Rps18/Rpl29/Rps10/Rpl18a/Rps16/Rpl32/Rpl11/Rps19/Rps21/Rpl28/Rps17/Rpl30/Rpl31/Rpl37a/Rpl13/Rpl21/Rps2/Rpl27/Mrps21/Rpl35/Rps4x/Rpl39/Rpl10/Rpl34/Rpl23/Rps9/Rps24/Rps28/Rpl8/Rps11/Fau/Rpl10a/Rpl5/Rpl18/Rps3/Rps12/Rpl9/Rplp2/Rps15a/Rps13/Rps3a1/Rpl35a/Mrpl34/Rpl27a/Rps6/Mrpl30/Rpl17/Rpsa/Mrpl21/Mrps7/Mrpl4/Rpl12/Mrpl43/Rps8/Rpl19/Rpl3/Rpl6",68,"MF"
"-1","GO:0044391","ribosomal subunit","73/802","174/14347",1.20686763707119e-45,3.01716909267798e-43,2.42008720907433e-43,"Rps29/Rps14/Rps27/Rpl36/Rps26/Rps25/Rplp1/Rpl14/Rpl38/Rpl37/Rps15/Rps18/Rpl29/Rps10/Rpl18a/Rps16/Rpl32/Rpl11/Rps19/Rps21/Rpl28/Rps17/Rpl30/Rpl31/Rpl37a/Rpl13/Rpl21/Rps2/Rpl27/Mrps21/Rpl35/Rps4x/Rpl39/Rpl10/Rpl34/Rpl23/Rps9/Rps24/Rps28/Rpl8/Rps11/Fau/Rpl10a/Rpl5/Rpl18/Rpl36a/Rps3/Rps12/Mrpl42/Rpl9/Rplp2/Rps15a/Rps13/Rps3a1/Rpl35a/Mrpl34/Rpl27a/Rpl26/Rps6/Mrpl52/Mrpl30/Rpl17/Rpsa/Mrpl21/Mrps7/Mrpl4/Mrpl58/Rpl12/Mrpl43/Rps8/Rpl19/Rpl3/Rpl6",73,"CC"
"-1","GO:0005840","ribosome","75/802","209/14347",3.82974634280667e-41,6.38291057134444e-39,5.11976616354155e-39,"Rps29/Rps14/Rps27/Rpl36/Rps26/Rps25/Rplp1/Rpl14/Rpl38/Rpl37/Rps15/Rps18/Rpl29/Apod/Rps10/Rpl18a/Rps16/Rpl32/Rpl11/Rps19/Rps21/Rpl28/Rps17/Rpl30/Rpl31/Rpl37a/Rpl13/Rpl21/Rps2/Rpl27/Mrps21/Rpl35/Rps4x/Snca/Rpl39/Rpl10/Rpl34/Rpl23/Rps9/Rps24/Rps28/Rpl8/Rps11/Fau/Rpl10a/Rpl5/Rpl18/Rpl36a/Rps3/Rps12/Mrpl42/Rpl9/Rplp2/Rps15a/Rps13/Rps3a1/Rpl35a/Mrpl34/Rpl27a/Rpl26/Rps6/Mrpl52/Mrpl30/Rpl17/Rpsa/Mrpl21/Mrps7/Mrpl4/Mrpl58/Rpl12/Mrpl43/Rps8/Rpl19/Rpl3/Rpl6",75,"CC"
"-1","GO:0022625","cytosolic large ribosomal subunit","37/802","54/14347",3.86342461128913e-34,4.82928076411141e-32,3.87359151816095e-32,"Rpl36/Rplp1/Rpl14/Rpl38/Rpl37/Rpl29/Rpl18a/Rpl32/Rpl11/Rpl28/Rpl30/Rpl31/Rpl37a/Rpl13/Rpl21/Rpl27/Rpl35/Rpl39/Rpl10/Rpl34/Rpl23/Rpl8/Rpl10a/Rpl5/Rpl18/Rpl36a/Rps12/Rpl9/Rplp2/Rpl35a/Rpl27a/Rpl26/Rpl17/Rpl12/Rpl19/Rpl3/Rpl6",37,"CC"
"-1","GO:0098800","inner mitochondrial membrane protein complex","49/802","106/14347",2.30547669204113e-33,2.30547669204113e-31,1.84923498877405e-31,"COX1/Cox7c/Cox6a1/Cox5b/Cox8a/Cox4i1/Ndufb9/Ndufs6/Ndufa13/Usmg5/Uqcrq/ND1/Uqcrh/Atp5j2/Atp5h/Uqcr10/Ndufa12/Ndufa1/Atp5e/Ndufa2/Ndufb5/Cox7a2l/Ndufc1/Ndufa3/Atpif1/Atp5k/Ndufc2/Ndufb10/Atp5j/2410015M20Rik/Ndufv3/Ndufb4/Ndufv2/Atp5d/Ndufa8/Sdhd/Ndufs5/Ndufa5/Atp5g1/Atp5l/Ndufb6/Atp5g2/Ndufa10/Ndufs4/Pam16/Atp5b/Atp5c1/Cyc1/Atp5o",49,"CC"
"-1","GO:0098798","mitochondrial protein complex","53/802","129/14347",8.63029854202011e-33,7.19191545168343e-31,5.76867323598187e-31,"COX1/Cox7c/Cox6a1/Cox5b/Cox8a/Cox4i1/Ndufb9/Ndufs6/Ndufa13/Usmg5/Uqcrq/ND1/Uqcrh/Atp5j2/Atp5h/Uqcr10/Ndufa12/Ndufa1/Atp5e/Tomm22/Ndufa2/Ndufb5/Cox7a2l/Ndufc1/Pink1/Ndufa3/Atpif1/Atp5k/Ndufc2/Ndufb10/Atp5j/2410015M20Rik/Ndufv3/Ndufb4/Ndufv2/Atp5d/Ndufa8/Sdhd/Ndufs5/Tomm20/Ndufa5/Atp5g1/Atp5l/Ndufb6/Atp5g2/Etfb/Ndufa10/Ndufs4/Pam16/Atp5b/Atp5c1/Cyc1/Atp5o",53,"CC"
"-1","GO:0044445","cytosolic part","67/802","218/14347",4.59166106281337e-32,3.27975790200955e-30,2.63071107508555e-30,"Rps29/Rps14/Rps27/Rpl36/Rps26/Rps25/Rplp1/Rpl14/Rpl38/Rpl37/Rps15/Rps18/Rpl29/Apod/Rps10/Rpl18a/Rps16/Rpl32/Rpl11/Rps19/Rps21/Rpl28/Rps17/Rpl30/Rpl31/Rpl37a/Rpl13/Rpl21/Rps2/Rpl27/Snap25/Dnajb1/Rpl35/Rps4x/Rpl39/Rpl10/Rpl34/Rpl23/Rps9/Rps24/Rps28/Rpl8/Rps11/Fau/Rpl10a/Rpl5/Rpl18/Rpl36a/Rps3/Rps12/Rpl9/Rplp2/Rps15a/Rps13/Rps3a1/Rpl35a/Rpl27a/Rpl26/Rps6/Rpl17/Rpsa/Mrpl4/Rpl12/Rps8/Rpl19/Rpl3/Rpl6",67,"CC"
"-1","GO:0070469","respiratory chain","42/802","80/14347",1.12571389636759e-31,7.03571185229745e-30,5.64338150679017e-30,"CYTB/COX1/Cox7c/Cox6a1/Cox5b/Cox8a/Cox4i1/Ndufb9/Ndufs6/Ndufa13/Uqcrq/ND1/ND2/Uqcrh/Cox7b/ND6/Uqcr10/Ndufa12/Ndufa1/Ndufa2/Ndufb5/Cox7a2l/Ndufc1/Uqcr11/Ndufa3/Cox7a2/Ndufc2/Ndufb10/Ndufv3/Ndufb4/Ndufv2/Sdhc/Ndufa8/Sdhd/Ndufs5/Ndufa5/Ndufb6/ND5/Ndufa10/Ndufs4/Cyc1/ND4",42,"CC"
"-1","GO:0044455","mitochondrial membrane part","60/802","176/14347",1.29156196641018e-31,7.17534425783432e-30,5.75538139417869e-30,"CYTB/COX1/Cox7c/Cox6a1/Cox5b/Cox8a/Cox4i1/Ndufb9/Ndufs6/Ndufa13/Usmg5/Uqcrq/ND1/Uqcrh/Atp5j2/Cox7b/Atp5h/Uqcr10/Ndufa12/Ndufa1/Atp5e/Tomm22/Ndufa2/Ndufb5/Cox7a2l/Ndufc1/Pink1/Ndufa3/Atpif1/Atp5k/Fis1/Cox7a2/Ndufc2/Ndufb10/Atp5j/2410015M20Rik/Ndufv3/Ndufb4/Ndufv2/Atp5d/Ndufa8/Sdhd/Ndufs5/Tomm20/Pet100/Ndufa5/Bdnf/Atp5g1/Atp5l/Ndufb6/Atp5g2/Sox10/Ndufa10/Ndufs4/Pam16/Mpc2/Atp5b/Atp5c1/Cyc1/Atp5o",60,"CC"
